segment-clé (EN)	segment-clé (FR)	Classe pharmacologique	Classe thérapeutique	DCI (spécialités)	Classe pharmaco-thérapeutique
-abine	-abine	dérivés de l’arabinofuranosyl	antiviraux, antinéoplasiques		
-ac	-ac	dérivés de l’ibufenac	antalgiques, antipyreptiques, anti-inflammatoires	Diclofénac (Difal – Voltarène – Xénid)	Anti-inflammatoires non stéroïdiens dérivés de l'ibufénac, dérivés arylcarboxyliques
-ac	-ac	dérivés de l’ibufenac	antalgiques, antipyreptiques, anti-inflammatoires	Bufexamac (Parfenac)	Anti-inflammatoires non stéroïdiens dérivés de l'ibufénac, dérivés de l'acide arylacétique
-actide	-actide	polypeptides synthétiques agissant comme la corticotropine		Tétracosactide (Synacthène Retard – Cortrosyn Retard)	Polypeptides synthétiques agissant comme la corticotropine (stimulent la sécrétion des hormones cortico-surrénaliennes)
-adol/-adol-	-adol/-adol-	certains morphiniques	antalgiques	Tramadol (Tremadol)	Analgésiques divers
-adom	-adom	dérivés du tifluadom	analgésiques		
-afenone	-afénone	dérivés du propafénone	antiarythmiques		
-afil	-afil	inhibiteurs de la phosphodiestérase-5	vasodilatateurs, troubles de l’érection, hypertension artérielle pulmonaire		
-aj-	-aj-	dérivés de l’ajmaline	antiarythmiques		
-al	-al	aldéhydes			
-aldrate	-aldrate	sels d’aluminium	antiacides		
-ampanel	-ampanel	antagonistes des récepteurs glutamate ionotropique non N-methyl-D-aspartate			
andr-/-andr-	andr-/-andr-	stéroïdes androgènes		Nandrolone (Déca-Durabolin – Dynabolan – Kératyl), Androstanolone (Andractim)	Stéroïdes androgènes
-anib	-anib	inhibiteurs de l’angiogenèse	anticancéreux		
-anide	-anide	-			
-anserin	-ansérine	antagonistes des récepteurs de la sérotonine 5-HT2			
-antel	-antel	anthelmintiques non-définis	anthelmintiques	Pyrantel (Combantrin – Helmintox)	Anthelminthiques sans structure chimique précise
-antrone	-antrone	dérivés de l’anthraquinone	anticancéreux, leucémie, SEP, antinéoplasiques		
-(a)pine	-(a)pine	composés tricycliques		Clozapine (Leponex)	Composés tricycliques à activité psychotique
-(ar)abine	-(ar)abine	dérivés de l'arabinofuranose	antiviraux, antinéoplasiques	Cytarabine (Aracytine)	Antinéoplasiques antiviraux, dérivés de l'arabinofuranose
-arit	-arit	agissant comme le clobuzarit et le lobenzarit	antiarthritiques		
-arol	-arol	dérivés du dicoumarol	anticoagulants	Acénocoumarol (Sintrom)	Anticoagulants coumariniques
-arotene	-arotène	dérivés des aritonoïdes			
arte-	arte-	composés liés à l’artemisinine	antipaludiques		
-ase	-ase	enzymes			
-ast	-ast	n’agissant pas primairement comme antihistaminiques	antiasthmatiques, antiallergiques		
-astine	-astine	certains antihistaminiques H1	antiallergiques	Azélastine (Allergodil), Lévocabastine (Lévophta), Mizolastine (Milastine - Mizollen)	Antihistaminiques H1 non classés ailleurs
-azenil	-azénil	antagonistes des benzodiazépines		Flumazénil (Anexate)	Substances agonistes/antagonistes des récepteurs aux benzodiazépines, à dominante antagoniste
-azepam/-azam	-azépam/-azam	benzodiazépines	hypnotiques, anxiolytiques, antiépileptiques	Diazépam (Valium), Nordazépam (Nordaz), Clonazépam (Clonopin - Rivotril), Flunitrazépam (Hypnosédon – Narcozep), Tetrazépam (Musaril - Myolastan), Clotiazépam (Vératran), Clobazam (Urbanyl) 	Benzodiazépines du groupe du diazépam
-azepide	-azépide	benzodiazépines, antagonistes des récepteurs de la cholecystokinine			
-azocine	-azocine	antagonistes et agonistes de la 6,7-benzomorphan	analgésiques	Pentazocine	Analgésiques et plus généralement antagonistes-agonistes des récepteurs morphiniques
-azolam	-azolam	benzodiazépines	hypnotiques, anxiolytiques, antiépileptiques	Alprazolam (Alpraz – Xanax)	Benzodiazépines anxiolytiques
-azolam	-azolam	benzodiazépines	hypnotiques, anxiolytiques, antiépileptiques	Triazolam (Halcion)	Benzodiazépines hypnotiques
-azoline	-azoline	dérivés de l’antazoline	vasoconstricteurs nasaux, antihistaminiques	Naphazoline (Colyre Bleu – Deltarhinol), Xylométazoline (Otrivine)	Vasoconstricteurs locaux à noyau imidazoline
-azone	-azone	dérivés du phénylbutazone	analgésiques, anti-inflammatoires	Phénazone (HEC – Migralgine – Otipax), Propyphénazone (Claradol Plus – Spasmoplus)	Analgésiques et antipyrétiques pyrazolés mais sans propriétés anti-inflammatoires majeures
-azosin	-azosine	dérivés du prazosine	antihypertenseurs, antiprostatiques, vasodilatateurs	Doxazosine (Cardura), Prazosine (Alpress- Minipress)	Alpha-1 bloquants (quinazolines), utilisés comme antihypertensseurs vasodilatateurs
-bacept	-bacept	récepteurs des facteurs activant les B-cell			
-bactam	-bactam	inhibiteurs des bêtalactamases (exception : acide clavulanique)	anti-infectieux	Sulbactam (Unasyn)	Antibiotiques inhibiteurs des bêta-lactamases
-bamate	-bamate	carbamates, dérivés du propanediol et du pentanediol	tranquillisants	Méprobamate (Equanil – Mépronizine)	Carbamates à propriétés essentiellement tranquillisantes
barb-/-barb-/-barbital	barb-/-barb-/-barbital	barbituriques	antiépileptiques	Amobarbital, Phénobarbital (Gardénal - Natisédine)	Dérivés barbituriques ou thiobarbituriques, à propriétés hypnosédatives
barb-/-barb-/-barbital	barb-/-barb-/-barbital	barbituriques	antiépileptiques	Penthiobarbital	Dérivés barbituriques ou thiobarbituriques, à propriétés anesthésiques générales
barb-/-barb-/-barbital	barb-/-barb-/-barbital	barbituriques	antiépileptiques	Fébarbamate	Dérivés barbituriques ou thiobarbituriques, à propriétés tranquillisantes
-begron	-bégron	agonistes bêta-3-adrénergique	antispasmodiques urinaires	Mirabégron	
-bendan	-bendan	dérivés du pimobendan	stimulants cardiaque		
-bendazole	-bendazole	inhibiteurs de la polymérisation de la tubuline, dérivés du tiabendazole	antiparasitaires, antihelminthiques	Albendazole (Azole – Zentel), Mébendazole (Oxitover – Sufil – Vermox)	Anthelminthiques à noyau benzimidazole
-bercept	-bercept	récepteurs de la VEGF			
-bermin	-bermine	facteurs de croissance			
-bersat	-bersat	dérivés du benzoylamino-benzpyran	anticonvulsants		
-betasol /-betazol	-bétasol/-bétazol	dérivés de la prednisone et de la prednisolone		Clobétazol (Dermoval)	Corticostéroïdes qui ne possèdent pas tous les substituants présents dans la cortisone et la prednisolone
-bol/-bol-	-bol/-bol-	stéroïdes anabolisants		Trenbolone	Stéroïdes anabolisants protéiniques
-bradine	-bradine	inhibiteurs du nœud sinusal			
-bufen	-bufène	dérivés de l’acide arylbutanoïque	anti-inflammatoires non stéroïdiens		
-bulin	-buline	inhibiteurs mitotiques, inhibiteurs de la polymérisation de la tubuline	antinéoplasiques		
-butazone	-butazone	dérivés du phénylbutazone	analgésiques, anti-inflammatoires	Phénylbutazone (Alpha-Kadol - Butazolidine)	Analgésiques anti-inflammatoires du groupe de la phénylbutazone (pyrazolés)
-buzone	-buzone	dérivés du phénylbutazone	analgésiques, anti-inflammatoires		
-caftor	-caftor			---	Modulateurs de la protéine CFTR
-cain-	-caïn-	dérivés de la lidocaïne et de la procaïnamide	anesthésiques locaux, antiarythmiques	Flécaïnide (Flécaïne)	Antiarythmiques de la classe I
-caine	-caïne	inhibiteurs des canaux sodiques	anesthésiques locaux, antiarythmiques	Bupivacaïne (Marcaïne – Périanest), Lidocaïne (Elma – Procto-Glyvénol - Xylocaïne), Oxybuprocaïne (Novésine)	Anesthésiques locaux
calci-/-calci-	calci-/-calci-	dérivés et analogues de la vitamine D	antirachitiques	Alfacalcidol (Un-Alfa), Calcifédiol (Dedrogyl – Hidroférol), Calcipotriol (Daivonex)	Séco-stéroïdes analogues de la vitamine D
-capone	-capone	inhibiteurs de la catéchol-O-méthyl-transférase	antiparkinsoniens		
-carbef	-carbef	dérivés des carbacéphems	anti-infectieux	Loracarbef	Antibiotiques dérivés des carbacéphems du groupe des bêta-lactamines
-carnil	-carnil	dérivés du carboline, antagonistes et agonistes des récepteurs des benzodiazépines			
-castat	-castat	inhibiteurs de la dopamine-hydroxylase			
cef-	céf-	dérivés de la céphalosporine	anti-infectieux	Céfaclor (Alfatil – Cloracef), Céfpodoxime (Orélox), Céftazidime (Fortum), Céfuroxime (Zinnat)	Céphalosporines
cell-/cel-	cell-/cel-	dérivés de la cellulose			
cell-ate	cell-ate	dérivés de l’ester de cellulose pour les composants contenant des résidus acides			
-cellose	-cellose	dérivés de l’éther de cellulose			
-cept	-cept	molécules récepteurs natives ou modifiées	polyarthrite rhumatoïde, DMLA, greffes du rein, cancer colorectal		
-cic	-cic	groupe des acides carboxyliques	hépatoprotecteurs		
-cidin	-cidine	antibiotiques d’origine naturelle		Gramicidine	Antibiotiques d'origine naturelle (à l'exception des antinéoplasiques), lorsqu'ils n'appartiennent pas à une famille définie
-ciguat	-ciguat	activateurs de la cyclase guanilate			
-cillide	-cillide	dérivés de la pénicilline	anti-infectieux		
-cillinam	-cillinam	dérivés de la pénicilline	anti-infectieux	Pivmécillinam (Selexid)	Amidinopénicillines, antibiotiques du groupe des bêta-lactamines (mécillinams)
-cilline	-cilline	dérivés de la pénicilline	anti-infectieux	Amoxicilline (Amoxil – Clamoxyl - Néomox), Ampicilline (Amblosin – Opticilline – Totapen), Flucloxacilline (Astaph – Floxapen – Staphypen)	Aminopénicillines, antibiotiques du groupe des bêta-lactamines (sauf les mécillinams)
-cilpine	-cilpine	composés tricycliques			
-cisteine	-cistéine	mucolitiques autres que les dérivés de la bromhexine			
-citabine	-citabine	dérivés de la cytarabine ou de l’azactidine	antiviraux, antinéoplasiques	Zalcitabine (Hivid), Emtricitabine (Emtriva – Atripla – Biktarvy – Descovy – Eviplera – Genvoya – Odefsey – Stribild – Truvada – PrEP)	Nucléosides antiviraux ou agents antinéoplasiques dérivés de la cytidine
-clidine/-clidinium	-clidine/-clidinium	antagonistes des récepteurs muscariniques			
-clone	-clone	dérivés de la cyclopyrrolone	tranquillisants, hypnotiques	Zopiclone (Imovane)	Hypnotiques et tranquilisants du groupe des cyclopyrrolones
-closporine	-closporine			---	Substances dérivées de la ciclosporine
-cocept	-cocept	récepteurs de complément			
-cog	-cog	facteurs de coagulation sanguine			
-eptacog	-eptacog	facteurs de coagulation sanguine VII			
-octocog	-octocog	facteurs de coagulation sanguine VIII			
-nonacog	-nonacog	facteurs de coagulation sanguine IX			
					
-cogin	-cogin	inhibiteurs de la cascade de coagulation sanguine			
-conazole	-conazole	dérivés du miconazole	anti-infectieux, antifongiques	Kétoconazole (Kétoderm - Nizoral), Fluconazole (Diflucan – Triflucan)	Antifongiques systémiques du groupe du miconazole
-copan	-copan			Avacopan	---
-cort-	-cort-	corticoïdes, sauf les dérivés de la prednisolone	antiasthmatiques, anti-œdémateux, anti-inflammatoires	Hydrocortisone (Bacicoline - Efficort –Néocort), Tixocortol (Oro-Pivalone – Thiovalone)	Corticostéroïdes, autres que les dérivés de la prednisolone
-coxib	-coxib	inhibiteurs de la cyclo-oxygénase	antalgiques, antipyreptiques, anti-inflammatoires		
-crinat	-crinat	dérivés de l’acide étacrynique	diurétiques		
-crine	-crine	dérivés de l’acridine			
-cromil	-cromil	dérivés de l’acide cromoglicique	antiallergiques	Nédocromil (Tilade)	Antiallergiques analogues de l'acide cromoglicique
-curium/-curonium	-curium/-curonium	substances semblables au curare		Pancuronium (Pavulon), Rocuronium (Esmeron), Vécuronium (Norcuron)	Ammoniums quaternaires à activité semblable à celle des curares (curarisants)
-cycline	-cycline	dérivés de la tétracycline	anti-infectieux	Doxycycline (Doxymycine – Longamycine – Vibra), Métacycline (Physiomycine), Minocycine (Mynocine)	Tétracyclines
-dacine	-dacine	inhibiteurs de l'ADN gyrase et de la topoïsomérase IV	anti-infectieux	---	Antibiotiques inhibiteurs de l'ADN gyrase et de la topoïsomérase IV
-dan	-dan	dérivés du pimobendan	stimulants cardiaque		
-dapsone	-dapsone	dérivés du diaminophenylsulfone	antimycobactériens	Amidapsone	Sulfones antimycobactériennes (tuberculose, lèpre), dérivés de la dapsone
-denoson	-denoson	agonistes des récepteurs de l’adénosine A			
-dermin	-dermin	facteurs de croissance épidermal			
dil-/-dil/-dyl	dil-/-dil/-dyl		vasodilatateurs, antihypertenseurs	Minoxidil, Urapidil	Vasodilatateurs antihypertenseurs
dil-/-dil/-dyl	dil-/-dil/-dyl		vasodilatateurs, antiangoreux	Bépridil (Cordium), Diltiazem (Altiazem – Dilrène – Tildiem)	Vasodilatateurs antiangoreux
-dipine	-dipine	dérivés de la 1,4-dihydropyridine	antihypertenseurs, antiangoreux	Amlodipine (Amlor), Nifédipine (Adalate – Coracten – Nifédicor), Nitrendipine (Baypress - Hiperdine)	Inhibiteurs calciques du groupe de la nifédipine (dihydropyridines)
-dismase	-dismase	enzymes avec une activité dismutase superoxyde			
-distim	-distim	combinaison de deuxtypes de facteurs de stimulation des colonies			
-dopa	-dopa	agonistes des récepteurs de la dopamine	antiparkinsoniens	Lévodopa (Modopar)	Agonistes des récepteurs dopaminergiques, utilisés comme antiparkinsoniens ou inhibiteurs de la prolactine
-dopa	-dopa	dérivés de la dopamine		Carbidopa	Dérivés favorisants les actions de la dopamine
-dostat	-dostat			Epacadostat	Inhibiteurs de l'indoléamine 2 3-dioxygénase 1
-dox	-dox	dérivés de la dioxide quinazoline	antibactériens		
-dralazine	-dralazine	dérivés de l’hydrazinephtalazine	antihypertenseurs	Déhydralazine	Antihypertenseurs dérivés de l'hydralazine et de la phtalazine
-drine	-drine	dérivés des éphédrines	sympathomimétiques	Dioxéthédrine (Bexol), Noréphédrine (Dénoral Cp. – Rinurel – Rupton)	Sympathomimétiques dérivés de la phényléthylamine et particulièrement des éphédrines
-dronate/-dronique	-dronate/-dronique	biphosphonates	antiostéoporotiques, antipagétiques	Étidronate (Didronel), Résidronate (Actonel)	Régulateurs du métabolisme du calcium (Diphosphonates)
-dustat	-dustat			Vadadustat	Inhibiteurs de la prolyl-hydroxylase du facteur inductible par l'hypoxie (HIF)
-dutant	-dutant	antagonistes des récepteurs de la neurokinine NK2			
-ectin	-ectine	dérivés de l’ivermectine	antiparasitaires	Ivermectine	
-elestat	-elestat	inhibiteurs de l’élastase			
-emcinal	-emcinal	dérivés de l’érythromycine sans activité antibiotique, agonistes de la motiline			
-entan	-entan	antagonistes du récepteur de l’endothéline	anti-HTA pulmonaire		
-erg-	-erg-	alcaloïdes de l’ergot de seigle	antimigraineux, ocytociques, vasodilatateurs périphériques	Dihydroergotamine (Ikaran – Seglor – Tamik), Méthylergométrine (Méthergin), Nicergoline (Sermion)	Alcaloïdes de l'ergot de seigle et leurs dérivés
-eridine	-eridine	dérivés de la péthidine	analgésiques		
-ermin	-ermine	facteurs de croissance			
estr-/-estr-	estr-/-estr-	œstrogènes stéroïdiens		Ethinylestradiol (Adépal – Diane – Minidril), Promestriène (Colposeptine – Colpotrophine)	Oestrogènes stéroïdiens
estr-/-estr-	estr-/-estr-	œstrogènes non stéroïdiens		Diéthylsilbestrol	Oestrogènes non stéroïdiens
-etanide/-anide	-étanide/-anide	dérivés de la pirétanide	diurétiques	Pirétanide	Diurétiques de l'anse, diurétiques hypokaliémiants
-exine	-exine	dérivés du bromhexine	mycolitiques	Dembrexine	Mucolytiques de type bromhexine
-farcept	-farcept	sous-groupe des récepteurs de l’interféron			
-fenamate	-fénamate	dérivés de l’acide fénamique	anti-inflammatoires non stéroïdiens	Acide Méfénamique (Ponstyl), Acide Tolfénamique (Clotan), Etofénamate (Rheumon)	Anti-inflammatoires non Stéroïdiens, dérivés de l'acide anthranilique, groupe des fénamates
-fenamic	-fenamic	dérivés de l’acide anthranilique	anti-inflammatoires non stéroïdiens		
-fenin	-fénine	analgésiques périphériques dérivés de l'acide phénylcarbamoyl-méthylimino-diacétique	exploration fonctionnelle	Lidofénine	
-fenine/-phenine	-fénine/-phénine	dérivés de la glaféine	analgésiques	Floctafénine (Idarac)	analgésiques périphériques dérivés de la glafénine
-fentanil/-fentanyl	-fentanil/-fentanyl	dérivés du fentanyl, agonistes des récepteurs opioïdes	analgésiques morphiniques	Alfentanil (Rapifen), Sufentanil (Sufenta)	Analgésiques centraux de type fentanyl
-fentrine	-fentrine	inhibiteurs des phosphodiesterases			
-fermin	-fermine	facteurs de croissance du fibroblast			
-fiban	-fiban	antagonistes des récepteurs GPIIb/IIIa, antagonistes des récepteurs du fibrinogène	antiagrégants plaquettaires		
-fibrate/-brate	-fibrate/-brate	dérivés du clofibrate	hypolipidémiants	Ciprofibrate (Lipanor), Fénofibrate (Lipanthyl)	Fibrates normolipémiantes
-filermin	-filermine	facteurs inhibiteurs de la leucémie 			
-flapon	-flapon	inhibiteurs de la 5-lipoxygenase			
-floxacine	-floxacine	fluoroquinolones		Ciprofloxacine (Catex – Ciproxine – TMS), Lévofloxacine (Tavanic), Norfloxacine (Noracin – Urobacid – Uroctal), Ofloxacine (Oflocet – Quinolox – Uroflox), Trovafloxacine (Trovan)	Fluoroquinolones
-flurane	-flurane	dérivés halogénés volatiles	anesthésiques	Enflurane	Anésthésiques généraux, dérivés halogénés volatiles
-fopam	-fopam			Néfopam	---
-formin	-formine	dérivés de la phenformine	antihyperglycémiants	Metformine (Glycan – Glucophage – Stagid)	Biguanides, hypoglycémiants oraux
-fos-	-fos-	dérivés phosphoreux	insecticides, anthelminthiques, pesticides		
-fosfamide	-fosfamide	alkylants du groupe des cyclophosphamides			
-fosine	-fosine	cytostatiques			
-frine	-frine	dérivés du phénéthyl	sympathomimétiques	Dipivéphrine (Propine), Etiléfrine (Effortil), Phénylephrine (Diméthane – Rinomicine)	Sympathomimétiques dérivés de la phényléthylamine, en particulier de type adrénaline (= épinéphrine) ou phényléphrine (= néosynéphrine)
-fungin	-fungine	antibiotiques	antifongiques		
-fylline/-phylline	-fylline/-phylline	dérivés de la méthylxanthine	bronchodilatateurs	Bamifylline (Trentadil)	Méthylxanthines bronchodilatateurs
-gab-	-gab-	gabamimétiques	antiépileptiques	Vigabatrine	Composés gabamimétiques, utilisés comme anti-épileptiques
gado-/-gado-	gado-/-gado-	dérivés du gadolinium	agents de diagnostic	Gadopentétate (Magnevist), Gadotérate (Dotarem)	Produits pour exploration fonctionnelle, dérivés du gadolinium
-gatran	-gatran	inhibiteurs de la thrombine	antithrombotiques		
-gene	-gène	médicaments de la thérapie génique	divers		
gest/-gest-	gest/-gest-	stéroïdes progestogènes	contraception hormonale, THS, endométriose, certains troubles menstruels	Progestérone (Di-Pro Oleosum – Progestogel – Tocogestan), Lévonorgestrel (Adépal - Microval – Trigynon), Nomégestrol (Lutényl), Promégestone (Surgestone), Médrogestone (Colprone)	Stéroïdes progestatifs
-gesterone	-gestérone	stéroïdes progestogènes	contraception hormonale, THS, endométriose, certains troubles menstruels	Dydrogestérone (Duphastan), Progestérone (Progestogel – Tocogestan – Utrogestan)	Stéroïdes cétoniques progestatifs naturels ou de synthèse
-gestr-	-gestr-	œstrogènes			
-giline	-giline	inhibiteurs de la mono-amine-oxydase de type B	antiparkinsoniens	Sélégiline	Inhibiteurs de la mono-amine-oxydase (IMAO) de type B
-gillin	-gilline	antibiotiques produits par des souches Aspergillus			
gli-/-gli-	gli-/-gli-	sulfamides hypoglycémiants	antidiabétiques	Glibenclamide (Benclamid – Daonil – Glidiabet), Gliclazide (Diamicron – Glyazid – Glycémat), Glimépiride (Amarel)	Sulfamides hypoglycémiants
-glifozin	-glifozine	dérivés de la phlorizine, inhibiteurs des transporteurs sodium-glucose			
-gliptin	-gliptine	inhibiteurs des dipeptidyl aminopeptidases IV			
-glitazar	-glitazar	agonistes des récepteurs gamma activant les proliférateurs de peroxisome			
-glitazone	-glitazone	agonistes des récepteurs gamma activant les proliférateurs de peroxisome, dérivés de la thiazolidinédione			
-glumide	-glumide	antagonistes de la cholecystokinine (CCK)	antiulcéreux, anxiolitiques		
-glustat	-glustat			Venglustat	Inhibiteurs de la glycosyltransférase
-glutide	-glutide	analogues des Glucagon-Like Peptide (GLP)			
-golide	-golide	dérivés de l’ergolide, agonistes des récepteurs de la dopamine	antiparkinsoniens	Quinagolide (Norprolac)	Agonistes dopaminergiques, dérivés de l'ergoline, utilisés comme antiparkinsoniens ou inhibiteurs de la prolactine
-gramostim	-gramostime	facteurs de stimulation des colonies granulocyte macrophage			
-grastim	-grastime	facteurs de stimulation des colonies granulocyte			
-grel-	-grel-	inhibiteurs de l’agrégation plaquettaire	antiagrégants plaquettaires	Anagrélides, Camonagrel, Clopidogrel, Dazmégrel, Furégrélate, Isbogrel, Itazigrel, Midazogrel, Nafagrel, Nicogrélate, Oxagrélate, Ozagrel, Pamicogrel, Pirmagrel, Ridogrel, Rolafagrel, Sarpogrélate, Satigrel, Sunagrel, Trifénagrel	
-gro-/-gr-	-gro-/-gr-				Anticorps monoclonaux ayant pour cible les facteurs de croissance et les récepteurs dépendant de la masse musculaire
guan-	guan-	dérivés de la guanidine	antihypertenseurs	Guanfacine (Estulic)	Antihypertenseurs dérivés de la guanidine
-ibine	-ibine	dérivés du ribofuranyl de type pyrazofurine			
-icam	-icam	dérivés de l’isoxicam	antalgiques, antipyreptiques, anti-inflammatoires	Piroxicam (Brexin – Feldène – Zildam), Méloxicam (Mobic), Ténoxicam (Doxican - Tilcotil)	Anti-inflammatoires non stéroïdiens du groupe des oxicams
-ifene	-ifène	dérivés des clomifène et tamoxifène	anti-œstrogènes, stimulation ovulation, cancer du sein, antiostéoporotique	Clomifène (Clomid – Prolifen)	Dérivés du triaryléthylène, inducteurs d'ovulation
-ifene	-ifène	dérivés des clomifène et tamoxifène	anti-œstrogènes, stimulation ovulation, cancer du sein, antiostéoporotique	Tamoxifène (Nolvadex)	Cytostatiques antioestrogènes
-igetide	-igétide	peptides et glycopeptides			
-ilide	-ilide	dérivés de la sématilide	antiarythmiques de classe III		
imex	imex		immunostimulants		
-imibe	-imibe	inhibiteurs du cholestérol acyltransférase	antihyperlipidémiants		
-imod	-imod	immunomodulateurs immunosuppresseurs et immunodépresseurs	cytotoxiques, antitumoraux		
-imus	-imus	immunosppresseurs autres que les néoplasiques		Tacrolimus	Immunosupresseurs autres que les antinéoplasiques
-ine	-ine	alcaloïdes et bases organiques			
-inib	-inib	inhibiteurs des tyrosines kinases	anticancéreux		
-inostat	-inostat	inhibiteurs de l’histone deacétylase			
-io	-io	produits de contraste iodés	opacificateurs des organes creux	Acide Ioxitalamique (Télébrix), Iopamidol (Iopamiron), Iopromide (Ultravist), Iopydol (Hytrast)	Produits de contraste iodés
-io-/iod-	-io-/iod-	dérivés iodés autres que les produits de contrastes		---	Dérivés iodés autres que les produits de contraste
-iptan	-iptan			Sumatriptan (Imigran), Zolmitriptan (Zomig)	Agonistes des récepteurs de la sérotonine dits 5 HT1 (triptans antimigraineux)
-irudin	-irudine	dérivés de l’hirudine, inhibiteurs de la thrombine			
-isomide	-isomide	dérivés de la disopyramide	antiarythmiques de classe I		
-ium	-ium	ammoniums quaternaires	antiseptiques spermicides		Ammoniums quaternaires utilisés comme curarisants (Cf. -curium)
-ium	-ium	ammoniums quaternaires	antiseptiques spermicides	Prifinium (Riabal), Tiémonium (Viscéralgine)	Ammoniums quaternaires utilisés comme agents anticholinergiques
-ium	-ium	ammoniums quaternaires	antiseptiques spermicides	Benzalkonium, Méthylthioninium (Collyre Bleu)	Ammoniums quaternaires utilisés comme antiseptiques
-ium	-ium	ammoniums quaternaires	antiseptiques spermicides	Pinaverium (Ex-Dicétel)	Ammoniums quaternaires utilisés comme divers
-izine/-yzine	-izine/-yzine	dérivés de la diphénylméthyl piperazine		Buclizine (Aphilan), Cétirizine (Virlix – Zyrtec)	Antihistaminiques H1 du groupe des cyclizines
-kacin	-kacine	dérivés de la kanamycine et de la bekanamycine	antibiotiques	Amikacine (Amiklin – Piérami)	Antibiotiques obtenus à partir de souches de Streptomyces kanamyceticus
-kalant	-kalant	bloqueurs des canaux potassiques			
-kalim	-kalim	activateurs des canaux potassiques	antihypertenseurs		
-kef-	-kef-	agonistes de l’enkephaline			
-kin	-kin	substances de type interleukine			
-benakin	-benakin	dérivés et analogues de l’interleukine-1			
-nakin	-nakin	dérivés et analogues de l’interleukine-1			
-onakin	-onakin	dérivés et analogues de l’interleukine-1			
-leukin	-leukin	dérivés et analogues de l’interleukine-2			
octakin	octakin	dérivés et analogues de l’interleukine-8			
-decakin	-decakin	dérivés et analogues de l’interleukine-10			
-elvekin	-elvekin	dérivés et analogues de l’interleukine-11			
-dodekin	-dodekin	dérivés et analogues de l’interleukine-12			
-octadekin	-octadekin	dérivés et analogues de l’interleukine-18			
-enicokin	-enicokin	dérivés et analogues de l’interleukine-21			
-kinra	-kinra	antagonistes des récepteurs de l’interleukine			
-kiren	-kirène	inhibiteurs de la rénine	antihypertenseurs		
-lefacept	-lefacept	récepteurs des antigènes-3 associés à la fonction lymphocitaire			
-lisib	-lisib	inhibiteurs du phosphatidylinositol-3-kinase	anti-tumoraux	Lénolisib, Ténalisib	
-listat	-listat	inhibiteurs de la lipase gastro-intestinale		Orlistat (Xénical)	Inhibiteurs de la lipase pancréatique
-lubant	-lubant	antagonistes des récepteurs aux leukotriènes B4			
