segment-clé (EN)	segment-clé (FR)	Classe pharmacologique	Classe thérapeutique	DCI (spécialités)	Classe pharmaco-thérapeutique
-parin	-parine	dérivés de l’héparine, y compris l’héparine de bas poids moléculaire	anticoagulants	Daltéparine (Fragmin), Enoxaparine (Levonex), Nadroparine (Fraxiparine)	Dérivés de l'héparine, y compris les héparines à basse masse moléculaire
-parinux	-parinux	héparinoïdes synthétiques			
-pendyl	-pendyl		vasodilatateurs		
-penem	-penem	analogues de la pénicilline		Imipénème (Tiénam)	Antibiotiques du groupe des carbapénèmes de la famille des bêta-lactamines
perfl(u)-	perfl(u)-	composés perfluorés	substituts sanguins, produits de diagnostic		
-peridol	-péridol	dérivés de l’halopéridol	antipsychotiques, antiémétiques	Dropéridol, Halopéridol (Halopéridol – Haldol)	Neuroleptiques de la famille des butyrophénones
-peridone	-péridone	dérivés de la rispéridone	antipsychotiques, antiémétiques	Dompéridone (Motilium)	Antipsychotiques et antinauséeux répondant à la formule générale des neuroleptiques, mais n'appartenant pas au groupe des butyrophénones
-perone	-pérone	dérivés de la 4’-fluoro-4-piperidinobutyrophenone	antipsychotiques, tranquilisants	Pipampérone	Neuroleptiques et tranquilisants de la famille des butyrophénones
-phine	-phine	agissant sur les récepteurs opiacés	antalgiques opiacés		
-phylline	-phylline	dérivés de la théophylline	antiasthmatiques		
-pidem	-pidem	dérivés du zolpidem	sédatifs, hypnotiques	Zolpidem (Stilnox)	Hypnosédatifs à noyau imidazopyridine
-pin(e)	-pin(e)	composés tricycliques			
-piprazole	-piprazole	dérivés de la phénylpiperazine	psychotropes		
-pirdine	-pirdine				Antagonistes des récepteurs 5-HT6 de la sérotonine  ---
-pirone	-pirone	dérivés de la buspirone	anxiolitiques		
-pirox	-pirox	dérivés de la pyridone	antimycosiques	Ciclopirox (Mycoster Verni)	Antimycosiques dérivés de la pyridone
-pitant	-pitant	antagonistes des récepteurs des neurokinines NK1 (substance P)	antiémétiques		
-plact	-plact	analogues et dérivés des facteurs 4 plaquettaires			
-pladib	-pladib	inhibiteurs de la phospholipase A2			
-planin	-planine	souches d’Actinoplanes	antibactériens	Teicoplanine (Targocid)	Antibactériens issus de souches d'Actiniplanes
-plase	-plase	enzymes			
-plasmid	-plasmid	produits de thérapie génique			
-platin	-platine	dérivés du platine	antinéoplasiques cytotoxiques	Carboplatine (Paraplatine), Cisplatine (Cisplatyl)	Antinéoplasiques dérivés du platine
-plermin	-plermine	facteurs de croissance dérivés des plaquettes			
-plestim	-plestim	analogues et dérivés des interleukin-3			
-plon	-plon	dérivés de l’imidazopyrimidine ou de la pyrazolopyrimidine	anxiolitiques, sédatifs, hypnotiques		
-poetin	-poétine	facteurs sanguins de type érythropoïétine	antianémiques	Epoétine Alpha	Facteurs sanguins analogues à l'érytropoïétine
-porfin	-porfine	dérivés de la benzoporphyrine			
-poride	-poride	inhibiteurs de l’antiport NA+/H+			
-potide	-potide			---	Peptides et glycopeptides dont les utilisations dans la cancer de la prostate sont revendiquées
-pramine	-pramine	substance du groupe des imipraminiques		Imipramine (Tofranil), Trimipramine (Surmontil)	Antidepresseurs imipraminiques
-prazole	-prazole	inhibiteurs de la pompes à protons, dérivés de la benzimidazole	antiulcéreux	Lansoprazole (Lanzor), Oméprazole (Aulcer – Mopral – Omegen - Prazol –Proton), Pantoprazole (Inipomp)	Anti-ulcéreux dérivés du benzimidazole, inhibiteurs de la pompe à protons
-pred-	-pred-	dérivés de la prednisone et de la prednisolone		Prednimustine	Corticostéroïdes dérivés de la prednisone ou de la prednisolone
-prenaline	-prénaline	dérivés de la phénéthylamine	bronchodilatateurs		
-pressin	-pressine	dérivés de la vasopressine	antidiurétiques, vasconstricteurs	Desmopressine (Minirin)	Peptides vasoconstricteurs, dérivés de la vasopressine
-pride/-piride/-pramide	-pride/-piride/-pramide	dérivés de la sulpiride	antipsychotiques	Alizapride (Plitican), Cisapride (Sepride – Prépulsid), Métoclopramide (Cloprame – Digestine - Métagliz – Primperan)	Benzamides psychotropes, utilisés dans divers troubles digestifs 
-pride/-piride/-pramide	-pride/-piride/-pramide	dérivés de la sulpiride	antipsychotiques	Amisulpiride (Solian), Sulpiride (Dogmatil), Tiapride (Tiapridal)	Benzamides psychotropes, utilisés comme Neuroleptiques
-pride/-piride/-pramide	-pride/-piride/-pramide	dérivés de la sulpiride	antipsychotiques	Véralipride (Agréal)	Benzamides psychotropes, utilisés comme Traitement des bouffées vasomotrices de la ménopause
-pril	-pril	inhibiteurs de l’enzyme de conversion de l’angiotensine	antihypertenseurs, insuffisance cardiaque		
-prilat	-prilate	inhibiteurs de l’enzyme de conversion de l’angiotensine	antihypertenseurs, insuffisance cardiaque	Bénazépril (Cibacène), Captopril (Capozide – Convertal - Lopril), Cilazapril (Inhibace), Enalapril (Prilvas – Rénitec), Perindopril (Coversyl), Quinapril (Acuitel – Acuilix), Ramipril (Triatec), Trandolapril (Odrik)	Inhibiteurs de l'enzyme de conversion de l'angiotensine
-prim	-prime	dérivés de la thriméthoprime	anti-infectieux	Triméthoprime (Bactrim – Co-Trim – Eusaprim)	Anti-infectieux dérivés de la triméthoprime
-pris-	-pris-	stéroïdes agissant sur les récepteurs à progestérone	interruption de grossesse, fibromes utérins		
-pristin	-pristine	dérivés de la pristinamycine	anti-infectieux		
-profen	-profène	dérivés de l’acide phényl-proprionique	antalgiques, antipyreptiques, anti-inflammatoires non-stéroïdiens	Acide Tiaprofénique (Surgam – Tiafen), Alminoprofène (Minalfène), Flurbiprofène (Cébutid – Ocufen), Ibuprofène (Algantil- Analgyl – Antarène - Brufen – Dolgit – Nofène – Tabalon – Trifène), Kétoprofène (Flexen – Ketum – Profénid – Toprec)	Anti-inflammatoirs non stéroïdiens dérivés de l'acide phénylpropionique
-prost-	-prost-	dérivés des prostaglandines	abortifs, déclenchement du travail, antiulcéreux, anti-ischémiques	Alprostadil (Caverject)	Prostaglandines et leurs dérivés
